Temperature (K),Entropy in ideal gas approximation (eV/K)
100.0,0.0017999697648841515
101.0,0.001802970866050318
102.0,0.001805942401678729
103.0,0.001808884948980209
104.0,0.0018117990684649342
105.0,0.0018146853045838338
106.0,0.0018175441863396622
107.0,0.0018203762278694384
108.0,0.0018231819289998537
109.0,0.0018259617757771327
110.0,0.00182871624097275
111.0,0.0018314457845663012
112.0,0.0018341508542067623
113.0,0.0018368318856532748
114.0,0.001839489303196544
115.0,0.0018421235200618547
116.0,0.001844734938794656
117.0,0.0018473239516296099
118.0,0.0018498909408439408
119.0,0.001852436279095876
120.0,0.0018549603297489212
121.0,0.001857463447182671
122.0,0.0018599459770908147
123.0,0.0018624082567669591
124.0,0.0018648506153788576
125.0,0.001867273374231595
126.0,0.0018696768470202554
127.0,0.0018720613400725697
128.0,0.0018744271525820012
129.0,0.0018767745768317236
130.0,0.001879103898409898
131.0,0.0018814153964166538
132.0,0.0018837093436631454
133.0,0.0018859860068630382
134.0,0.0018882456468167638
135.0,0.0018904885185888635
136.0,0.0018927148716787235
137.0,0.0018949249501849868
138.0,0.0018971189929639224
139.0,0.0018992972337820017
140.0,0.0019014599014629395
141.0,0.0019036072200294249
142.0,0.0019057394088397744
143.0,0.0019078566827197125
144.0,0.001909959252089486
145.0,0.0019120473230865057
146.0,0.0019141210976836962
147.0,0.0019161807738037279
148.0,0.0019182265454293077
149.0,0.001920258602709672
150.0,0.0019222771320634505
151.0,0.001924282316278029
152.0,0.001926274334605569
153.0,0.001928253362855795
154.0,0.0019302195734856972
155.0,0.0019321731356862497
156.0,0.0019341142154662763
157.0,0.0019360429757335675
158.0,0.0019379595763733518
159.0,0.0019398641743242238
160.0,0.001941756923651635
161.0,0.001943637975619021
162.0,0.0019455074787566714
163.0,0.0019473655789284197
164.0,0.001949212419396233
165.0,0.0019510481408827845
166.0,0.001952872881632077
167.0,0.001954686777468195
168.0,0.0019564899618522524
169.0,0.001958282565937601
170.0,0.0019600647186233558
171.0,0.001961836546606318
172.0,0.0019635981744313283
173.0,0.001965349724540123
174.0,0.0019670913173187483
175.0,0.001968823071143563
176.0,0.001970545102425912
177.0,0.001972257525655487
178.0,0.0019739604534424362
179.0,0.0019756539965582695
180.0,0.0019773382639755874
181.0,0.001979013362906685
