Temperature (K),Entropy in ideal gas approximation (eV/K)
100.0,0.0017208268031242723
101.0,0.0017238278932327111
102.0,0.0017267994163088166
103.0,0.0017297419494022668
104.0,0.001732656052849568
105.0,0.0017355422709149527
106.0,0.0017384011324009503
107.0,0.0017412331512303533
108.0,0.0017440388270011584
109.0,0.0017468186455159922
110.0,0.0017495730792874073
111.0,0.0017523025880203623
112.0,0.0017550076190731118
113.0,0.001757688607897655
114.0,0.0017603459784608238
115.0,0.0017629801436470198
116.0,0.001765591505643554
117.0,0.0017681804563094822
118.0,0.001770747377528776
119.0,0.00177329264154862
120.0,0.0017758166113035804
121.0,0.0017783196407263433
122.0,0.0017808020750456875
123.0,0.0017832642510723095
124.0,0.0017857064974730907
125.0,0.0017881291350343588
126.0,0.0017905324769146714
127.0,0.0017929168288876084
128.0,0.0017952824895750461
129.0,0.0017976297506713539
130.0,0.0017999588971589274
131.0,0.0018022702075154579
132.0,0.0018045639539133105
133.0,0.0018068404024113628
134.0,0.0018090998131396468
135.0,0.001811342440477106
136.0,0.0018135685332227713
137.0,0.0018157783347606449
138.0,0.0018179720832185633
139.0,0.001820150011621297
140.0,0.0018223123480381308
141.0,0.0018244593157251629
142.0,0.0018265911332625406
143.0,0.0018287080146868447
144.0,0.0018308101696188287
145.0,0.0018328978033866896
146.0,0.0018349711171450737
147.0,0.0018370303079899713
148.0,0.0018390755690696784
149.0,0.0018411070896919767
150.0,0.0018431250554276865
151.0,0.0018451296482107308
152.0,0.0018471210464348566
153.0,0.0018490994250471293
154.0,0.0018510649556383468
155.0,0.0018530178065304674
156.0,0.0018549581428611891
157.0,0.0018568861266657721
158.0,0.0018588019169562188
159.0,0.0018607056697979073
160.0,0.0018625975383837739
161.0,0.0018644776731061392
162.0,0.0018663462216262584
163.0,0.0018682033289416898
164.0,0.0018700491374515514
165.0,0.0018718837870197516
166.0,0.0018737074150362602
167.0,0.0018755201564764977
168.0,0.0018773221439589048
169.0,0.0018791135078007589
170.0,0.0018808943760723039
171.0,0.0018826648746492478
172.0,0.00188442512726369
173.0,0.001886175255553529
174.0,0.0018879153791104095
175.0,0.0018896456155262564
176.0,0.0018913660804384428
177.0,0.001893076887573644
178.0,0.0018947781487904205
179.0,0.0018964699741205707
180.0,0.0018981524718093017
181.0,0.0018998257483542522
182.0,0.0019014899085434088
183.0,0.0019031450554919565
184.0,0.0019047912906780893
185.0,0.001906428713977829
186.0,0.0019080574236988738
187.0,0.0019096775166135146
188.0,0.001911289087990651
189.0,0.0019128922316269288
190.0,0.0019144870398770397
191.0,0.0019160736036832001
192.0,0.0019176520126038402
193.0,0.0019192223548415285
194.0,0.0019207847172701595
195.0,0.001922339185461418
196.0,0.0019238858437105595
197.0,0.0019254247750615113
198.0,0.0019269560613313279
199.0,0.0019284797831340176
200.0,0.001929996019903757
201.0,0.0019315048499175173
202.0,0.0019330063503171166
203.0,0.0019345005971307225
204.0,0.001935987665293812
205.0,0.0019374676286696157
206.0,0.001938940560069055
207.0,0.0019404065312701925
208.0,0.0019418656130372062
209.0,0.0019433178751389073
210.0,0.0019447633863668074
211.0,0.00194620221455276
212.0,0.0019476344265861776
213.0,0.001949060088430843
214.0,0.0019504792651413281
215.0,0.0019518920208790277
216.0,0.001953298418927823
217.0,0.0019546985217093822
218.0,0.0019560923907981143
219.0,0.0019574800869357795
220.0,0.0019588616700457694
221.0,0.001960237199247073
222.0,0.00196160673286792
223.0,0.0019629703284591315
224.0,0.00196432804280717
225.0,0.0019656799319469113
226.0,0.0019670260511741276
227.0,0.0019683664550577103
228.0,0.001969701197451629
229.0,0.0019710303315066307
230.0,0.0019723539096816924
231.0,0.00197367198375524
232.0,0.0019749846048361186
233.0,0.001976291823374348
234.0,0.001977593689171647
235.0,0.001978890251391747
236.0,0.0019801815585704895
237.0,0.0019814676586257275
238.0,0.001982748598867017
239.0,0.001984024426005122
240.0,0.0019852951861613283
241.0,0.0019865609248765704
242.0,0.0019878216871203856
243.0,0.0019890775172996824
244.0,0.0019903284592673516
245.0,0.0019915745563307014
246.0,0.001992815851259734
247.0,0.0019940523862952667
248.0,0.001995284203156894
249.0,0.0019965113430508033
250.0,0.001997733846677448
251.0,0.0019989517542390663
252.0,0.002000165105447073
253.0,0.0020013739395293067
254.0,0.0020025782952371525
255.0,0.002003778210852525
256.0,0.0020049737241947347
257.0,0.0020061648726272243
258.0,0.0020073516930641886
259.0,0.002008534221977074
260.0,0.0020097124954009645
261.0,0.0020108865489408536
262.0,0.0020120564177778097
263.0,0.002013222136675031
264.0,0.002014383739983796
265.0,0.002015541261649315
266.0,0.0020166947352164744
267.0,0.0020178441938354906
268.0,0.0020189896702674636
269.0,0.002020131196889837
270.0,0.0020212688057017676
271.0,0.002022402528329406
272.0,0.002023532396031085
273.0,0.002024658439702429
274.0,0.002025780689881373
275.0,0.002026899176753102
276.0,0.0020280139301549096
277.0,0.002029124979580977
278.0,0.002030232354187077
279.0,0.002031336082795197
280.0,0.002032436193898094
281.0,0.002033532715663772
282.0,0.0020346256759398913
283.0,0.0020357151022581065
284.0,0.002036801021838336
285.0,0.002037883461592964
286.0,0.0020389624481309794
287.0,0.0020400380077620467
288.0,0.0020411101665005135
289.0,0.0020421789500693626
290.0,0.002043244383904093
291.0,0.0020443064931565482
292.0,0.002045365302698686
293.0,0.002046420837126286
294.0,0.0020474731207626063
295.0,0.002048522177661978
296.0,0.0020495680316133576
297.0,0.002050610706143808
298.0,0.0020516502245219444
299.0,0.0020526866097613193
300.0,0.0020537198846237582
301.0,0.0020547500716226494
302.0,0.0020557771930261788
303.0,0.0020568012708605237
304.0,0.002057822326912995
305.0,0.0020588403827351363
306.0,0.0020598554596457717
307.0,0.0020608675787340196
308.0,0.0020618767608622506
309.0,0.0020628830266690126
310.0,0.002063886396571906
311.0,0.002064886890770422
312.0,0.0020658845292487378
313.0,0.002066879331778474
314.0,0.002067871317921407
315.0,0.00206886050703215
316.0,0.0020698469182607905
317.0,0.0020708305705554922
318.0,0.0020718114826650583
319.0,0.002072789673141459
320.0,0.0020737651603423284
321.0,0.0020747379624334143
322.0,0.0020757080973910083
323.0,0.002076675583004329
324.0,0.002077640436877877
325.0,0.0020786026764337607
326.0,0.0020795623189139817
327.0,0.0020805193813826944
328.0,0.00208147388072843
329.0,0.0020824258336662967
330.0,0.002083375256740136
331.0,0.002084322166324665
332.0,0.002085266578627577
333.0,0.0020862085096916205
334.0,0.002087147975396644
335.0,0.002088084991461615
336.0,0.0020890195734466167
337.0,0.0020899517367548043
338.0,0.0020908814966343484
339.0,0.0020918088681803446
340.0,0.0020927338663366945
341.0,0.002093656505897969
342.0,0.002094576801511241
343.0,0.0020954947676778933
344.0,0.0020964104187554014
345.0,0.002097323768959098
346.0,0.0020982348323639044
347.0,0.0020991436229060452
348.0,0.0021000501543847385
349.0,0.002100954440463862
350.0,0.002101856494673597
351.0,0.0021027563304120496
352.0,0.0021036539609468542
353.0,0.0021045493994167504
354.0,0.00210544265883314
355.0,0.002106333752081625
356.0,0.0021072226919235243
357.0,0.0021081094909973686
358.0,0.0021089941618203777
359.0,0.002109876716789916
360.0,0.0021107571681849317
361.0,0.002111635528167368
362.0,0.002112511808783574
363.0,0.0021133860219656737
364.0,0.002114258179532933
365.0,0.0021151282931931082
366.0,0.002115996374543762
367.0,0.002116862435073584
368.0,0.0021177264861636735
369.0,0.0021185885390888177
370.0,0.0021194486050187485
371.0,0.002120306695019387
372.0,0.002121162820054063
373.0,0.002122016990984728
374.0,0.0021228692185731456
375.0,0.0021237195134820694
376.0,0.0021245678862764064
377.0,0.002125414347424362
378.0,0.002126258907298571
379.0,0.0021271015761772168
380.0,0.002127942364245132
381.0,0.002128781281594887
382.0,0.0021296183382278626
383.0,0.002130453544055311
384.0,0.0021312869088994007
385.0,0.0021321184424942506
386.0,0.0021329481544869466
